NOM                                         ,PRIX                                         ,LIEN
MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING TRIO PLUS 8G LHR                                         ,749.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNDMiLCJuYW1lIjoiTVNJIEdhbWluZyBHZUZvcmNlIFJUWCAzMDcwIDhHQiBHRERSNiBQQ0kgRXhwcmVzcyA0LjAgVmlkZW8gQ2FyZCBSVFggMzA3MCBHQU1JTkcgVFJJTyBQTFVTIDhHIExIUiIsImltYWdlIjoiaHR0cHMlM0ElMkYlMkZjMS5uZXdlZ2dpbWFnZXMuY29tJTJGUHJvZHVjdEltYWdlQ29tcHJlc3NBbGwzMDAlMkYxNC0xMzctNzAwLVMwMS5qcGciLCJsaW5rIjoiaHR0cHM6XC9cL2NsaWNrLmxpbmtzeW5lcmd5LmNvbVwvZGVlcGxpbms/aWQ9eEVua3hXSkhzRk0mbWlkPTQ0NTgzJm11cmw9aHR0cHMlM2ElMmYlMmZ3d3cubmV3ZWdnLmNvbSUyZnAlMmZOODJFMTY4MTQxMzc3MDAlM2ZJdGVtJTNkTjgyRTE2ODE0MTM3NzAwIiwicHJpY2UiOiI3NDkuOTkiLCJzdG9yZSI6Im5ld2VnZyIsInNlcmllcyI6IjMwNzAiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzg4ODg4In0=
MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING TRIO PLUS 8G LHR                                         ,749.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNDMiLCJuYW1lIjoiTVNJIEdhbWluZyBHZUZvcmNlIFJUWCAzMDcwIDhHQiBHRERSNiBQQ0kgRXhwcmVzcyA0LjAgVmlkZW8gQ2FyZCBSVFggMzA3MCBHQU1JTkcgVFJJTyBQTFVTIDhHIExIUiIsImltYWdlIjoiaHR0cHMlM0ElMkYlMkZjMS5uZXdlZ2dpbWFnZXMuY29tJTJGUHJvZHVjdEltYWdlQ29tcHJlc3NBbGwzMDAlMkYxNC0xMzctNzAwLVMwMS5qcGciLCJsaW5rIjoiaHR0cHM6XC9cL2NsaWNrLmxpbmtzeW5lcmd5LmNvbVwvZGVlcGxpbms/aWQ9eEVua3hXSkhzRk0mbWlkPTQ0NTgzJm11cmw9aHR0cHMlM2ElMmYlMmZ3d3cubmV3ZWdnLmNvbSUyZnAlMmZOODJFMTY4MTQxMzc3MDAlM2ZJdGVtJTNkTjgyRTE2ODE0MTM3NzAwIiwicHJpY2UiOiI3NDkuOTkiLCJzdG9yZSI6Im5ld2VnZyIsInNlcmllcyI6IjMwNzAiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzg4ODg4In0=
ASUS TUF RTX 3060 V2 OC LHR                                         ,443.85                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNDQiLCJuYW1lIjoiQVNVUyBUVUYgUlRYIDMwNjAgVjIgT0MgTEhSIiwiaW1hZ2UiOiIiLCJhc2luIjoiQjA5ODVWTkQxRyIsImxpbmsiOiJodHRwczpcL1wvd3d3LmFtYXpvbi5jb21cL2RwXC9CMDk4NVZORDFHP3NtaWQ9QVRWUERLSUtYMERFUiZ0YWc9Zml4aXRzZXJ2aWNlcy0yMCZsaW5rQ29kZT1vZ2kmdGg9MSZwc2M9MSIsIm9mZmVyaWQiOiJHVDV5JTJGa3NDZGtZMHQwSmhVSXAxa3RvTWx1dUhYVENlQmZHcFRmZVp3aUpIcnZYRkNiaHl4WUp6bzlnZ0U4TDFaaHVtUWFYMVJRNFBxaEFvSHBrTW82eCUyRkZiU2p1dnB3d2dDS1VkaUZJalhMSFcxVDJOZGkzJTJCSmtCRlZmNXBvVnRYZ1loNXNSc082bm9GWWRpZzR0a2clM0QlM0QiLCJwcmljZSI6IjQ0My44NSIsInN0b3JlIjoiYW1hem9uIiwic2VyaWVzIjoiMzA2MCIsImNvdW50cnkiOiJ1cyIsInRpbWVzdGFtcCI6IjE2NjA3NzQ0OTQifQ==
MSI Gaming RTX 3060 Ti LHR Ventus 3X                                         ,479.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNDciLCJuYW1lIjoiTVNJIEdhbWluZyBSVFggMzA2MCBUaSBMSFIgVmVudHVzIDNYIiwiaW1hZ2UiOiIiLCJhc2luIjoiQjA5Qks5WDlLOSIsImxpbmsiOiJodHRwczpcL1wvd3d3LmFtYXpvbi5jb21cL2RwXC9CMDlCSzlYOUs5P3NtaWQ9QVRWUERLSUtYMERFUiZ0YWc9Zml4aXRzZXJ2aWNlcy0yMCZsaW5rQ29kZT1vZ2kmdGg9MSZwc2M9MSIsIm9mZmVyaWQiOiJBTkIlMkJFdDVQZ29idkR4bGc5YXIyOTNaMlhudUpoeGNiN0wlMkZINDNlME05ZlNzdU5IcUZWZ3B3aGNLQTJ4cWpwRVNIYUhFQk9vdjBNTFhkWGlMUlhTcHRsSDFwU29CRHBNQVE0UnBDQyUyQk1McW1ScjU2OVYlMkJSd2swTlVjSUUlMkZSVWN4R05sM3JxOCUyRkt1cklqZjhYamw1eHclM0QlM0QiLCJwcmljZSI6IjQ3OS45OSIsInN0b3JlIjoiYW1hem9uIiwic2VyaWVzIjoiMzA2MHRpIiwiY291bnRyeSI6InVzIiwidGltZXN0YW1wIjoiMTY2MDc4ODkyNCJ9
EVGA%20GeForce%20RTX%203080%20FTW3%20Ultra%20LHR                                         ,773.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNDgiLCJuYW1lIjoiRVZHQSUyMEdlRm9yY2UlMjBSVFglMjAzMDgwJTIwRlRXMyUyMFVsdHJhJTIwTEhSIiwiaW1hZ2UiOiIiLCJhc2luIjoiQjA5N1M2SkRNViIsImxpbmsiOiJodHRwcyUzYSUyZiUyZnd3dy5hbWF6b24uY29tJTJmZHAlMmZCMDk3UzZKRE1WJTNmc21pZCUzZEFUVlBES0lLWDBERVIlMjZ0YWclM2RmaXhpdHNlcnZpY2VzLTIwJTI2bGlua0NvZGUlM2RvZ2klMjZ0aCUzZDElMjZwc2MlM2QxIiwib2ZmZXJpZCI6Ilg0RXViRjFpcW9oaTdnaDJmSFFpVUNGckV2alFCRCUyNTJGWjBTTVlmT2NuViUyNTJCQmpEZVl4bVZaandOVTl1TEh1VXdPVFRXWUolMjUyRk9GQXJWdWVCT0lKQ2FUN0k1QXRzS2dSMW84Wk5qMXhwanhJNVowVDRwekMzSGpQN2ozdmF0SmpiZVg4OGNaTlElMjUyRnpBelU5M3ZkODI3UXFOc1ElMjUzRCUyNTNEIiwicHJpY2UiOiI3NzMuOTkiLCJzdG9yZSI6ImFtYXpvbiIsInNlcmllcyI6IjMwODAiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzg4OTI1In0=
EVGA 3090 XC3 Ultra iCX3                                         ,1229.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNTEiLCJuYW1lIjoiRVZHQSAzMDkwIFhDMyBVbHRyYSBpQ1gzIiwiaW1hZ2UiOiIiLCJhc2luIjoiQjA4SjYxU1M1UiIsImxpbmsiOiJodHRwczpcL1wvd3d3LmFtYXpvbi5jb21cL2RwXC9CMDhKNjFTUzVSP3NtaWQ9QVRWUERLSUtYMERFUiZ0YWc9Zml4aXRzZXJ2aWNlcy0yMCZsaW5rQ29kZT1vZ2kmdGg9MSZwc2M9MSIsIm9mZmVyaWQiOiIydWhrSFZ5MyUyQldLSkhBNXdxb2xuV0xhZmclMkZWWnNkbDRRYXA4Qzl4R1pqc2ZqMlglMkJYUHFUak9sJTJCUVpHMjQ1Wkt4dllxVSUyQkJySSUyRjFPQnElMkZXa0c5NUZQNnJxSkVxN3kyZUNjZXl6elIzVEpySUREdDFqYnlIQW0wMzBtS2wlMkZkRHVaWEdLd0VNUE1ubWdnQVA1TEl5JTJGcHclM0QlM0QiLCJwcmljZSI6IjEyMjkuOTkiLCJzdG9yZSI6ImFtYXpvbiIsInNlcmllcyI6IjMwOTAiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzc0NTc5In0=
ASUS KO NVIDIA GeForce RTX 3060 Ti V2 OC                                         ,519.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNTYiLCJuYW1lIjoiQVNVUyBLTyBOVklESUEgR2VGb3JjZSBSVFggMzA2MCBUaSBWMiBPQyIsImltYWdlIjoiIiwiYXNpbiI6IkIwOUNCUVlYTE4iLCJsaW5rIjoiaHR0cHM6XC9cL3d3dy5hbWF6b24uY29tXC9kcFwvQjA5Q0JRWVhMTj9zbWlkPUFUVlBES0lLWDBERVImdGFnPWZpeGl0c2VydmljZXMtMjAmbGlua0NvZGU9b2dpJnRoPTEmcHNjPTEiLCJvZmZlcmlkIjoiVlhzWSUyRjFkNXh2TXhtcGhvaHNOeWU1cDhoREZVcFhYdnpwSWolMkZpb1haUUxmNXV3Rk9tN0o2bGlDQyUyQjFVJTJGMnZQQnlJelNnMDdWdTh5bVZkS0VFZExuV0lJekxuUmNPRFREVk9FaUt0Q0klMkJqRW96WjNZJTJCRXJXZDclMkZCSUZXdlYzZk1mSmRrWXVnSTFZV21PU25YcExqUmclM0QlM0QiLCJwcmljZSI6IjUxOS45OSIsInN0b3JlIjoiYW1hem9uIiwic2VyaWVzIjoiMzA2MHRpIiwiY291bnRyeSI6InVzIiwidGltZXN0YW1wIjoiMTY2MDc4ODk5MyJ9
MSI Gaming RTX 3060 Ti LHR Gaming X                                         ,499.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNjAiLCJuYW1lIjoiTVNJIEdhbWluZyBSVFggMzA2MCBUaSBMSFIgR2FtaW5nIFgiLCJpbWFnZSI6IiIsImFzaW4iOiJCMDk5NVRCVExTIiwibGluayI6Imh0dHBzOlwvXC93d3cuYW1hem9uLmNvbVwvZHBcL0IwOTk1VEJUTFM/c21pZD1BVFZQREtJS1gwREVSJnRhZz1maXhpdHNlcnZpY2VzLTIwJmxpbmtDb2RlPW9naSZ0aD0xJnBzYz0xIiwib2ZmZXJpZCI6IkdaMkh5ZUFrVUNNSFE2eFNLM3gzOG1XeHBMOUNUb2tPNEdmcTZXQUx5cHZnJTJGR1NCR1RLRDBsOVB6Sm9XMUl6N25Wa3p2c0Nna1FJS00lMkZQbnhsYXdKNUp5OCUyQjA3VlNxUHZoVWp2eVpWN0JOT2tkMW9TWHYweURBRyUyQng4SnVuRDNxM2g2SXYlMkZyNFRYVWFkUDlWM1RxZHclM0QlM0QiLCJwcmljZSI6IjQ5OS45OSIsInN0b3JlIjoiYW1hem9uIiwic2VyaWVzIjoiMzA2MHRpIiwiY291bnRyeSI6InVzIiwidGltZXN0YW1wIjoiMTY2MDc4OTAwNCJ9
gigabyte 3070 gaming oc REV2                                         ,574.99                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNjciLCJuYW1lIjoiZ2lnYWJ5dGUgMzA3MCBnYW1pbmcgb2MgUkVWMiIsImltYWdlIjoiIiwiYXNpbiI6IkIwOThRNE00V0giLCJsaW5rIjoiaHR0cHM6XC9cL3d3dy5hbWF6b24uY29tXC9kcFwvQjA5OFE0TTRXSD9zbWlkPUFUVlBES0lLWDBERVImdGFnPWZpeGl0c2VydmljZXMtMjAmbGlua0NvZGU9b2dpJnRoPTEmcHNjPTEiLCJvZmZlcmlkIjoiJTJGTiUyQll2NmpSQXdvZXBmVzF3Q29NOW0xRjJXczBDZXZWYlZSRG5ZJTJCU0dxNmhCNDBEVDM2YWU1R2JidGFqUnRySDRqRGw4ZSUyQko4b1g0TnVIM1d0JTJCSDk1RzBlZmVSd0s4OFlPdGpnaXdzR1YzZU10SlM1N3hYWG1nUzJFbWdCRlRodEFDekZrOWElMkZiRWolMkZGT2x5ak10c2clM0QlM0QiLCJwcmljZSI6IjU3NC45OSIsInN0b3JlIjoiYW1hem9uIiwic2VyaWVzIjoiMzA3MCIsImNvdW50cnkiOiJ1cyIsInRpbWVzdGFtcCI6IjE2NjA3NzQ2MzYifQ==
ASUS ROG Strix 3080 V2 OC Edition LHR                                         ,798.97                                         ,http://restockwatch.com/?page=productfeed&id=eyJzcWxpZCI6IjQxNjIyNzEiLCJuYW1lIjoiQVNVUyBST0cgU3RyaXggMzA4MCBWMiBPQyBFZGl0aW9uIExIUiIsImltYWdlIjoiIiwiYXNpbiI6IkIwOURESlRTUFoiLCJsaW5rIjoiaHR0cHM6XC9cL3d3dy5hbWF6b24uY29tXC9kcFwvQjA5RERKVFNQWj9zbWlkPUFUVlBES0lLWDBERVImdGFnPWZpeGl0c2VydmljZXMtMjAmbGlua0NvZGU9b2dpJnRoPTEmcHNjPTEiLCJvZmZlcmlkIjoiTWZudkJWbHFJZ1prUFNKN2lXM0RVdHpSTjZrM3JzVktmbSUyQnEwOVRvT0lXcWxDJTJGM0pxck1rMVVUa0Z4MHdqd1NVZTB6eXNDaWt2alJWckQ0Rmg0dCUyQnpJbyUyRnN2Y3NieFlxb2dmTW1pcUNwUnA1bHY2dG5hMWYlMkI4aWZmJTJCYUJJV1IySkJ0VUtvR3p6ckdLSDR5VDZqNGFnJTNEJTNEIiwicHJpY2UiOiI3OTguOTciLCJzdG9yZSI6ImFtYXpvbiIsInNlcmllcyI6IjMwODAiLCJjb3VudHJ5IjoidXMiLCJ0aW1lc3RhbXAiOiIxNjYwNzg5MDQ1In0=
